wave,flux,error,f
3551,3446,144.94,7
3552,3444.1,144.94,7
3553,3448.5,145.21,7
3554,3446.6,145.21,7
3555,3444.6,145.21,7
3556,3442.7,145.21,7
3557,3440.7,145.21,7
3558,3438.8,145.21,7
3559,3436.9,145.21,7
3560,3441.3,145.48,7
3561,3439.3,145.48,7
3562,3443.8,145.75,7
3563,3441.8,145.75,7
3564,3439.9,145.75,7
3565,3438,145.75,7
3566,3436,145.75,7
3567,3427.8,145.48,7
3568,3425.9,145.48,7
3569,3423.9,145.48,7
3570,3422,145.48,7
3571,3420.1,145.48,7
3572,3418.2,145.48,7
3573,3416.3,145.48,7
3574,3408.1,145.21,7
3575,3406.2,145.21,7
3576,3410.5,145.48,7
3577,3402.4,145.21,7
3578,3400.5,145.21,7
3579,3392.3,144.94,7
3580,3387.3,144.81,7
3581,3379.2,144.54,7
3582,3377.3,144.54,7
3583,3369.2,144.28,7
3584,3367.3,144.28,7
3585,3365.4,144.28,7
3586,3363.6,144.28,7
3587,3361.7,144.28,7
3588,3359.8,144.28,7
3589,3354.9,144.15,7
3590,3356.1,144.28,7
3591,3354.2,144.28,7
3592,3352.3,144.28,7
3593,3350.5,144.28,7
3594,3333.2,143.61,7
3595,3322.2,143.22,7
3596,3308.1,142.69,7
3597,3300.2,142.43,7
3598,3295.3,142.3,7
3599,3287.4,142.04,7
3600,3285.6,142.04,7
3601,3283.8,142.04,7
3602,3282,142.04,7
3603,3286.2,142.3,7
3604,3284.4,142.3,7
3605,3285.6,142.43,7
3606,3289.8,142.69,7
3607,3288,142.69,7
3608,3286.2,142.69,7
3609,3284.3,142.69,7
3610,3282.5,142.69,7
3611,3271.6,142.3,7
3612,3263.8,142.04,7
3613,3256,141.77,7
3614,3248.2,141.51,7
3615,3243.4,141.38,7
3616,3241.6,141.38,7
3617,3233.9,141.12,7
3618,3232.1,141.12,7
3619,3224.4,140.86,7
3620,3213.7,140.48,7
3621,3206,140.22,7
3622,3198.3,139.96,7
3623,3187.7,139.57,7
3624,3186,139.57,7
3625,3178.4,139.32,7
3626,3170.8,139.06,7
