wave,flux,error,f
3573,6291.5,267.92,7
3574,6288,267.92,7
3575,6272.9,267.42,7
3576,6263.6,267.18,7
3577,6260.1,267.18,7
3578,6245.1,266.69,7
3579,6241.6,266.69,7
3580,6226.6,266.19,7
3581,6223.2,266.19,7
3582,6208.3,265.71,7
3583,6199,265.46,7
3584,6184.2,264.97,7
3585,6180.8,264.97,7
3586,6165.9,264.48,7
3587,6162.5,264.48,7
3588,6159.1,264.48,7
3589,6150,264.24,7
3590,6146.5,264.24,7
3591,6143.1,264.24,7
3592,6139.7,264.24,7
3593,6125,263.75,7
3594,6121.6,263.75,7
3595,6106.9,263.27,7
3596,6092.3,262.78,7
3597,6072.1,262.06,7
3598,6068.7,262.06,7
3599,6054.2,261.58,7
3600,6050.8,261.58,7
3601,6036.3,261.1,7
3602,6044.1,261.58,7
3603,6040.7,261.58,7
3604,6037.4,261.58,7
3605,6034.1,261.58,7
3606,6030.7,261.58,7
3607,6038.5,262.06,7
3608,6046.3,262.54,7
3609,6048.5,262.78,7
3610,6045.1,262.78,7
3611,6041.8,262.78,7
3612,6038.4,262.78,7
3613,6035.1,262.78,7
3614,6031.8,262.78,7
3615,6011.8,262.06,7
3616,5997.4,261.58,7
3617,5977.5,260.85,7
3618,5963.3,260.38,7
3619,5960,260.38,7
3620,5956.7,260.38,7
3621,5942.4,259.9,7
3622,5922.7,259.18,7
3623,5908.6,258.7,7
3624,5894.4,258.23,7
3625,5880.4,257.75,7
3626,5877.1,257.75,7
3627,5873.9,257.75,7
3628,5870.6,257.75,7
3629,5867.4,257.75,7
3630,5858.8,257.51,7
3631,5855.5,257.51,7
3632,5852.3,257.51,7
3633,5849.1,257.51,7
3634,5845.9,257.51,7
3635,5831.9,257.04,7
3636,5828.7,257.04,7
3637,5809.4,256.33,7
3638,5795.6,255.86,7
3639,5781.7,255.39,7
3640,5778.5,255.39,7
3641,5775.3,255.39,7
3642,5772.2,255.39,7
3643,5779.7,255.86,7
3644,5776.5,255.86,7
3645,5773.3,255.86,7
3646,5770.1,255.86,7
3647,5756.3,255.39,7
3648,5742.6,254.92,7
3649,5734.2,254.68,7
3650,5710,253.75,7
3651,5680.6,252.58,7
3652,5667.1,252.11,7
3653,5648.4,251.42,7
3654,5634.9,250.96,7
3655,5621.4,250.5,7
3656,5602.8,249.8,7
3657,5589.5,249.34,7
3658,5586.4,249.34,7
3659,5573.1,248.88,7
3660,5570,248.88,7
3661,5561.9,248.66,7
3662,5548.6,248.2,7
3663,5545.6,248.2,7
3664,5532.3,247.74,7
3665,5529.3,247.74,7
3666,5516.1,247.29,7
3667,5523.3,247.74,7
3668,5520.3,247.74,7
3669,5507.1,247.29,7
3670,5504.1,247.29,7
3671,5501.1,247.29,7
3672,5498.1,247.29,7
3673,5495.1,247.29,7
